RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$30,453,805 "
2,"Dirk Nowitzki, PF",Dallas Mavericks,"$22,721,381 "
3,"Amar'e Stoudemire, C",New York Knicks,"$21,679,893 "
4,"Joe Johnson, SG",Brooklyn Nets,"$21,466,718 "
5,"Carmelo Anthony, PF",New York Knicks,"$21,388,953 "
6,"Dwight Howard, C",Houston Rockets,"$20,513,178 "
7,"Pau Gasol, C",Los Angeles Lakers,"$19,285,850 "
8,"Chris Bosh, PF",Miami Heat,"$19,067,500 "
9,"LeBron James, SF",Miami Heat,"$19,067,500 "
10,"Dwyane Wade, SG",Miami Heat,"$18,673,000 "
11,"Chris Paul, PG",LA Clippers,"$18,668,431 "
12,"Deron Williams, PG",Brooklyn Nets,"$18,466,130 "
13,"Zach Randolph, PF",Memphis Grizzlies,"$18,238,333 "
14,"Rudy Gay, SF",Toronto Raptors,"$17,888,932 "
15,"Kevin Durant, SF",Oklahoma City Thunder,"$17,832,627 "
16,"Derrick Rose, PG",Chicago Bulls,"$17,632,688 "
17,"Blake Griffin, PF",LA Clippers,"$16,441,500 "
18,"Paul Pierce, SF",Brooklyn Nets,"$15,333,334 "
19,"Carlos Boozer, PF",Chicago Bulls,"$15,300,000 "
20,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$14,878,000 "
21,"Marc Gasol, C",Memphis Grizzlies,"$14,860,523 "
22,"Russell Westbrook, PG",Oklahoma City Thunder,"$14,693,906 "
23,"Kevin Love, PF",Minnesota Timberwolves,"$14,693,906 "
24,"Emeka Okafor, C",Philadelphia 76ers,"$14,487,500 "
25,"Eric Gordon, SG",New Orleans Pelicans,"$14,283,844 "
26,"Roy Hibbert, C",Indiana Pacers,"$14,283,844 "
27,"Luol Deng, SF",Cleveland Cavaliers,"$14,275,000 "
28,"Tyson Chandler, C",New York Knicks,"$14,100,538 "
29,"Andrew Bogut, C",Golden State Warriors,"$14,000,000 "
30,"David Lee, PF",Golden State Warriors,"$13,878,000 "
31,"James Harden, PG",Houston Rockets,"$13,701,250 "
32,"Al Jefferson, C",Charlotte Bobcats,"$13,500,000 "
33,"Josh Smith, PF",Detroit Pistons,"$13,500,000 "
34,"Nene Hilario, C",Washington Wizards,"$13,000,000 "
35,"Andre Iguodala, SF",Golden State Warriors,"$12,868,632 "
36,"Tony Parker, PG",San Antonio Spurs,"$12,500,000 "
37,"Kevin Garnett, PF",Brooklyn Nets,"$12,433,735 "
38,"Serge Ibaka, PF",Oklahoma City Thunder,"$12,350,000 "
39,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000 "
40,"Kris Humphries, PF",Boston Celtics,"$12,000,000 "
41,"Al Horford, PF",Atlanta Hawks,"$12,000,000 "
42,"Rajon Rondo, PG",Boston Celtics,"$11,954,545 "
43,"Andrea Bargnani, C",New York Knicks,"$11,862,500 "
44,"Tyreke Evans, SG",New Orleans Pelicans,"$11,796,247 "
45,"Nicolas Batum, SG",Portland Trail Blazers,"$11,295,250 "
46,"Joakim Noah, C",Chicago Bulls,"$11,100,000 "
47,"Richard Jefferson, SF",Utah Jazz,"$11,046,000 "
48,"DeAndre Jordan, C",LA Clippers,"$10,986,550 "
49,"Ty Lawson, PG",Denver Nuggets,"$10,786,517 "
50,"JaVale McGee, C",Denver Nuggets,"$10,750,000 "
51,"Tim Duncan, C",San Antonio Spurs,"$10,361,446 "
52,"Danilo Gallinari, SF",LA Clippers,"$10,146,925 "
53,"Gerald Wallace, SF",Boston Celtics,"$10,105,855 "
54,"Tiago Splitter, C",San Antonio Spurs,"$10,000,000 "
55,"Stephen Curry, PG",Golden State Warriors,"$9,887,642 "
56,"Jrue Holiday, PG",New Orleans Pelicans,"$9,713,484 "
57,"DeMar DeRozan, SG",Toronto Raptors,"$9,500,000 "
